Uniqueid,Word,Condition,Listnum,Spatial_Input_Position,Temporal_Input_Position,Spatial_Recall_Order,Initial_RT_Time,Length,Correct,Distance_From_Correct,Order_Type,Serial_Pos_Encoded,Word_Reading,Output_Rank
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,BRACES,"spatial, read silently",1,1,1,1,54.827,8,1,0,Spatial,1,Silent,1
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,BRANDY,"spatial, read silently",1,4,2,4,63.233,8,1,0,Spatial,4,Silent,2
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,CUSTARD,"spatial, read silently",1,7,3,7,67.587,8,1,0,Spatial,7,Silent,3
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,FRANCE,"spatial, read silently",1,2,4,2,71.516,8,1,0,Spatial,2,Silent,4
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,PECAN,"spatial, read silently",1,3,5,3,74.984,8,1,0,Spatial,3,Silent,5
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,SNACK,"spatial, read silently",1,8,6,8,80.39,8,1,0,Spatial,8,Silent,6
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,STREAM,"spatial, read silently",1,6,7,6,82.891,8,1,0,Spatial,6,Silent,7
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,VICTIM,"spatial, read silently",1,5,8,5,87.326,8,1,0,Spatial,5,Silent,8
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,BANJO,"spatial, read silently",2,11,1,11,50.781,16,1,0,Spatial,11,Silent,1
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,BLADE,"spatial, read silently",2,2,2,2,57.659,16,1,0,Spatial,2,Silent,2
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,BOX,"spatial, read silently",2,16,3,16,61.531,16,1,0,Spatial,16,Silent,3
A102RSV009OCUW:3COPXFW7XCJ9HBW0UCOCUG0SJ8SKP0,COUCH,"spatial, read silently",2,1,4,1,65.469,16,1,0,Spatial,1,Silent,4
