Uniqueid,Word,Condition,Listnum,Spatial_Input_Order,Temporal_Input_Position,Spatial_Recall_Order,Initial_RT_Time,Length,Correct,Distance_From_Correct,Order_Type,Serial_Pos_Encoded,Word_Reading,Output_Rank,List_Type
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,CLOTH,"temporal, read aloud, Fixed",1,3,1,3,8.192099999999627,12,0,2,Temporal,1,Aloud,1,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,EGG,"temporal, read aloud, Fixed",1,2,2,2,39.80790000000037,12,1,0,Temporal,2,Aloud,2,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,FLEA,"temporal, read aloud, Fixed",1,4,3,4,44.60480000000074,12,0,1,Temporal,3,Aloud,3,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,LIP,"temporal, read aloud, Fixed",1,9,4,9,55.17220000000112,12,0,5,Temporal,4,Aloud,5,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,MAZE,"temporal, read aloud, Fixed",1,6,5,5,67.45590000000037,12,1,0,Temporal,5,Aloud,8,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,PIT,"temporal, read aloud, Fixed",1,10,6,6,69.38359999999963,12,1,0,Temporal,6,Aloud,9,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,ROPE,"temporal, read aloud, Fixed",1,1,7,1,51.120300000000746,12,0,6,Temporal,7,Aloud,4,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,SEED,"temporal, read aloud, Fixed",1,11,8,8,59.2635,12,1,0,Temporal,8,Aloud,6,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,SHEET,"temporal, read aloud, Fixed",1,5,9,11,72.11790000000038,12,0,2,Temporal,9,Aloud,10,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,SPEAR,"temporal, read aloud, Fixed",1,8,10,10,85.66730000000075,12,1,0,Temporal,10,Aloud,11,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,TOY,"temporal, read aloud, Fixed",1,7,11,7,62.695400000000376,12,0,4,Temporal,11,Aloud,7,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,ZOO,"temporal, read aloud, Fixed",1,12,12,12,87.78440000000037,12,1,0,Temporal,12,Aloud,12,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,CLOTH,"temporal, read aloud, Fixed",2,10,1,10,63.6005,12,0,9,Temporal,1,Aloud,1,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,EGG,"temporal, read aloud, Fixed",2,8,2,8,86.96430000000075,12,0,6,Temporal,2,Aloud,2,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,FLEA,"temporal, read aloud, Fixed",2,9,3,9,94.63630000000074,12,0,6,Temporal,3,Aloud,3,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,LIP,"temporal, read aloud, Fixed",2,6,4,6,108.68340000000038,12,0,2,Temporal,4,Aloud,4,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,MAZE,"temporal, read aloud, Fixed",2,4,5,4,122.29280000000074,12,0,1,Temporal,5,Aloud,5,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,PIT,"temporal, read aloud, Fixed",2,12,6,12,134.81240000000037,12,0,6,Temporal,6,Aloud,6,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,ROPE,"temporal, read aloud, Fixed",2,5,7,5,159.21790000000038,12,0,2,Temporal,7,Aloud,7,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,SEED,"temporal, read aloud, Fixed",2,7,8,1,211.69940000000037,12,0,7,Temporal,8,Aloud,8,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,SHEET,"temporal, read aloud, Fixed",2,11,9,3,213.94769999999926,12,0,6,Temporal,9,Aloud,9,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,SPEAR,"temporal, read aloud, Fixed",2,2,10,7,216.81980000000075,12,0,3,Temporal,10,Aloud,10,Fixed
A12D8YONW8TYWU:3NPI0JQDAPC8KUMNOL24V7NU1B2PTL,TOY,"temporal, read aloud, Fixed",2,3,11,11,220.541,12,1,0,Temporal,11,Aloud,11,Fixed
